Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-01-1985,167.199997,180.270004,163.360001,179.630005,179.630005,2673710000,12.430008,6.919783808,,,-27.81682988
01-02-1985,179.630005,183.949997,177.75,181.179993,181.179993,2194620000,1.549988,0.855496225,,,-20.17239164
01-03-1985,181.179993,183.889999,176.529999,180.660004,180.660004,2153090000,-0.519989,-0.287827404,,,-17.06815248
01-04-1985,180.660004,183.610001,177.860001,179.830002,179.830002,1981880000,-0.830002,-0.461548124,,,-15.07743695
01-05-1985,179.830002,189.979996,178.350006,189.550003,189.550003,2350340000,9.720001,5.127935028,,,-12.36262075
01-06-1985,189.550003,191.850006,185.029999,191.850006,191.850006,2117000000,2.300003,1.198854797,,,-11.9713228
01-07-1985,191.850006,196.070007,189.300003,190.919998,190.919998,2463070000,-0.930008,-0.487119217,,,-11.31499256
01-08-1985,190.919998,192.169998,186.100006,188.630005,188.630005,1923200000,-2.289993,-1.214013115,,,-10.41444945
01-09-1985,188.630005,188.800003,179.449997,182.080002,182.080002,1860160000,-6.550003,-3.597321468,,,-10.41356529
01-10-1985,182.059998,190.149994,181.160004,189.820007,189.820007,2543240000,7.760009,4.088088038,,,-10.1674335
01-11-1985,189.820007,203.399994,189.369995,202.169998,202.169998,2445370000,12.349991,6.108715993,,,-9.883749981
01-12-1985,202.169998,213.080002,200.100006,211.279999,211.279999,2804380000,9.110001,4.311814201,,,-9.792165694
01-01-1986,211.279999,214.570007,202.600006,211.779999,211.779999,2879010000,0.5,0.236094061,,,-9.626508125
01-02-1986,211.779999,227.919998,210.820007,226.919998,226.919998,2899100000,15.139999,6.671954492,,,-9.526709039
01-03-1986,226.919998,240.110001,222.179993,238.899994,238.899994,3214600000,11.979996,5.014648933,,,-9.345312109
01-04-1986,238.899994,245.470001,226.300003,235.520004,235.520004,3240400000,-3.37999,-1.435118012,,,-9.34203067
01-05-1986,235.520004,249.190002,232.259995,247.350006,247.350006,2680240000,11.830002,4.782697276,,,-9.336705639
